primary_key,listing_id,listing_url,name,host_id,host_url,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,calculated_host_listings_count,reviews_per_month,date,available,price,adjusted_price
46,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/13/2023,f,$60.00 ,$60.00 
47,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/14/2023,f,$60.00 ,$60.00 
48,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/15/2023,f,$60.00 ,$60.00 
49,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/16/2023,f,$60.00 ,$60.00 
50,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/17/2023,f,$60.00 ,$60.00 
51,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/18/2023,f,$60.00 ,$60.00 
52,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/19/2023,f,$60.00 ,$60.00 
53,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/20/2023,f,$60.00 ,$60.00 
54,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/21/2023,f,$60.00 ,$60.00 
55,5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29,8/22/2023,f,$60.00 ,$60.00 
