id,listing_url,name,host_id,host_url,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,calculated_host_listings_count,reviews_per_month
179741,https://www.airbnb.com/rooms/179741,Rental unit in New York · ★4.95 · 2 bedrooms · 3 beds · 1 bath,314941,https://www.airbnb.com/users/show/314941,Tony,12/10/2010,t,3,37,40.72212,-73.99638,Entire home/apt,6,2,3,$542.00 ,1,365,t,19,1,0,10/26/2011,7/28/2022,4.95,3,0.13
182069,https://www.airbnb.com/rooms/182069,Rental unit in New York · ★4.77 · 2 bedrooms · 1 bed · 1 bath,39260,https://www.airbnb.com/users/show/39260,Mat,9/17/2009,f,1,1,40.78923,-73.946,Entire home/apt,3,2,1,$110.00 ,30,1125,t,122,2,0,9/27/2011,4/30/2023,4.77,1,0.86
182177,https://www.airbnb.com/rooms/182177,Townhouse in Bronx · ★4.68 · 1 bedroom · 2 beds · 1 bath,873273,https://www.airbnb.com/users/show/873273,Christian & Carla,7/26/2011,,2,13,40.86502,-73.85496,Entire home/apt,5,1,2,$114.00 ,2,1125,t,340,15,2,9/4/2011,5/22/2023,4.68,2,2.38
107630,https://www.airbnb.com/rooms/107630,Home in Brooklyn · ★4.75 · 1 bedroom · 2 beds · 1 bath,306739,https://www.airbnb.com/users/show/306739,Maya,12/1/2010,t,2,4,40.72741,-73.95466,Entire home/apt,3,1,2,$225.00 ,3,90,t,338,26,1,6/16/2011,5/14/2023,4.75,2,2.32
112304,https://www.airbnb.com/rooms/112304,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,573316,https://www.airbnb.com/users/show/573316,Kelli,5/10/2011,,1,1,40.8069,-73.95372,Private room,2,,1,$90.00 ,30,730,t,1,0,0,1/2/2016,1/2/2016,5,1,0.01
112435,https://www.airbnb.com/rooms/112435,Home in Brooklyn · ★4.62 · 1 bedroom · 1 bed · 1 bath,181376,https://www.airbnb.com/users/show/181376,Carol,7/26/2010,,2,5,40.69132,-73.97306,Private room,2,,1,$95.00 ,30,30,t,177,0,0,6/12/2011,2/16/2020,4.62,2,1.21
113092,https://www.airbnb.com/rooms/113092,Rental unit in New York · 1 bedroom · 1 bed · 1 bath,575906,https://www.airbnb.com/users/show/575906,San,5/10/2011,f,1,1,40.6905,-73.97867,Private room,1,1,1,$90.00 ,30,30,f,0,0,0,,,,1,
113265,https://www.airbnb.com/rooms/113265,Rental unit in Brooklyn · ★4.75 · 1 bedroom · 1 bed · 1 private bath,314582,https://www.airbnb.com/users/show/314582,Anthony,12/9/2010,,2,4,40.67582,-73.9518,Private room,2,,1,$60.00 ,30,730,t,274,2,0,6/12/2011,4/23/2023,4.75,2,1.88
54694,https://www.airbnb.com/rooms/54694,Home in Queens · ★4.35 · 1 bedroom · 1 bed · 1 shared bath,27848,https://www.airbnb.com/users/show/27848,Jullett,7/27/2009,f,2,4,40.67144,-73.76501,Private room,2,1,1,$65.00 ,30,365,f,62,0,0,10/13/2010,1/1/2018,4.35,2,0.4
115535,https://www.airbnb.com/rooms/115535,Rental unit in New York · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,567187,https://www.airbnb.com/users/show/567187,Jane,5/8/2011,,1,3,40.82402,-73.95263,Private room,1,,1,$65.00 ,30,365,t,34,0,0,5/23/2011,10/30/2019,4.76,1,0.23
187566,https://www.airbnb.com/rooms/187566,Rental unit in Brooklyn · ★4.83 · 1 bedroom · 1 bed · 1 bath,279078,https://www.airbnb.com/users/show/279078,Andrew & Markus,11/5/2010,t,1,3,40.6926,-73.9505,Entire home/apt,2,1,1,$139.00 ,2,210,t,232,20,2,9/21/2011,5/13/2023,4.83,1,1.63
